Date,Author,Comment
2023-11-19,n*****8,"cantik and tak besar sangat, nice je kalau korang nak bawa pegi ootd 🤪 lurve! Courier pun mantul buat kerja laju je"
2024-01-20,noortijah,"Material:good

tq seller barang dah sampai, beg cantik anak suka sangat tq tq tq😚maaf gambar tak ada kaitan"
2024-01-22,w*****o,Very nice and really as displayed in the description. Love the material and the bag!
2024-03-05,teahkylaa_99,"Material:ok
Durability:ok

semua nya ok, penghantaran pun cepat dan akan repeat balik kedai nie"
2024-03-12,a*****3,Dpt harga murah tp serius kualiti dan design mcm beg mahal sgt suka!
2024-02-27,rienasamrienaohhkeydaa,"Durability:good
Material:leader

beg sngat cantik dan berbaloi beli nti repeat oder warna lain"
2024-01-06,a*****1,"Material:ok

warna putih tapi macam da kuning😅 oklerrr berbaloi dgn harga murah👍🏻"
2023-12-25,a*****a,"Material:good

received it already. beg sangat cantik, nanti order design lain lagi"
2023-11-20,h*****h,"Warna yang sangat cantik. 
Sekadar muat satu handphone and wallet nipis."
2024-01-01,nursuhadamdromli,"Cantik hampa patt try, penghantaran pon cepat, berbaloi sangat dengn harga"
2023-11-09,w*****_,Bag sampai dalam keadaan yang baik. Bag cantik dan warna sama macam dalam gambar.
2023-11-06,pijaizza,"Material:comel, sesuai
Durability:handbags

Recommended, simple bag, comel, cute, boleh letak wallet handphone."
2024-01-17,muhammadisyraqazizi,Barang ada kat rumah dah buka tapi kotak dia kemek . Kena baiki lagi ye 👍 beg okey
2024-03-07,aemanrazak,"Material:Nice synthetic leather
Durability:Not sure

Beli untuk wife. Handbag raya kateko. Warna similar dengan gambar. Nice"
2024-01-04,chrisalviah,Kecil tapi Sy suka sbb Sy mmg suka bag kecil2.. muat juga dompet panjg tu..
2023-11-07,s*****i,"Material:Not bad. Nice bag
Durability:Tebal lembut tahan lama bergantung pada orang yang pakai

Cantik.. Jomm beli"
2024-03-12,zarifasyraf93,"Packaging cuma balut dgn plastik. Ade koyak dekat packaging, brg pun ade kesan calar pnjang."
2024-01-06,gracia_agnes_wong,dobe received it and handbag very good i like it so much thanks
2024-03-12,jr4tkjewn1,"Material:ok Dan cntik

Handbag cntik Rasa mau order lagi,tq seller DN abg jnt"
2024-01-05,zaimmazainudin97,"Material:kulit

Beg okay 👍🏻 dalam kecik sikit tapi nicee untuk minimalist"
2023-12-23,n*****h,"Material:kulit
Durability:keras

sangat memuaskan lurvee sgatt ngan beg nie 😘😘🥰🥰💕💕i wil repeatt agaiinn 🤭😍😍😍"
2024-03-13,jennyy7044,"Very fast delivery…use only two days
I very like it 🥰 Good good"
2024-02-28,s*****9,"Material:Leather
Durability:Not sure

Beg cantik, comel je. Mcm beg mahal 🥰 memang tertunggu² diorang buat live, sebab nak ambik voucher murah tu 🤭🤭 Nanti boleh repeat beg lain pulak 🤭 Thankyou seller 🥰"
2024-03-13,noryneyyna,Brg dh sampai..cantik sngt beg nye..sy grab 2 warna terus Sbb lama dh berkenan🤭🤭
2024-03-20,n*****7,"Durability:good
Material:good

Just nice...thanks...saya suka design dia..."
2024-03-05,s*****.,"alahai🥹 sangat sangat cantik ya. Nampak elegant je bila pakai, n of course nampak mahal. Dia punya material tu yg 👍🏻👍🏻, dia macam ada texture sikit,  macam baldu tapi bukan baldu lembut, eh tak tahu tak reti nak describe 😂 tapi memang 👍🏻👍🏻👍🏻 nampak sangat sangat berkualiti. Aloevera tu saja tu sape nak anggar dia punya kebesaran 😂 . Papepun thank you 🫶🏻. Saya beli ya"
2023-12-14,zatiamin93,"Durability:cantikkk
Material:PVC tebal

Sumpahh cantikkk gaiss,,, 
Try beli 2 design, sbb murahh,,, 
Bole repeat lagiii😁"
2023-12-09,ainadayana2810,Cantik gila bag ni 😍 dh la murah cantik pulak love betul 😍 next time repeat tunggu warna nk lain ada stock 🥰
2023-10-26,w*****n,serious cantikk !! suke sukee . packaging pun elok je lobee lobe
2024-01-18,e*****d,"Durability:terbaik
Material:terbaik

Terbaikk. Beg super cantik."
2024-02-02,n*****b,"Material:synthetic leather
Durability:perfect

first time beli jenama mossdoom mmg terpikat dan tergoda 😍 i really like it 🥰"
2024-02-06,b*****5,"Durability:kualiti best, tahan lasak
Material:material ok

Design yang menarik"
2024-03-05,d*****d,"Have quality.
Fast service.
Recommended.  Tq seller.  Tq courier."
2024-01-29,noujafira,Beg cantikkkkk really love. Harga pon affordable sangatttt.
2024-01-12,z*****n,"Material:cantik begnyaa

dah lama sampai ambil masa seminggu"
2023-11-19,_nurulfadzlina,"Durability:cantikkkk
Material:cantikkkkkkk

cantik ssangat material okayyyy inloveeee gilaaaaaa ❤️❤️❤️"
2024-03-19,fatinnabilahassan,"Beg nama saja mcm besar yaa, tp boleh laa muatkan hp , purse , perfume travel size & lipstick🥰 lawaaa cunn.. boleh guna melaram raya nanti"
2023-10-22,skyrain881088,"Durability:ok
Material:leather

Alhamdulillah akhirnya dpt juga bag ni, cantik tak menyesal beli, harap bertahan lama, tq seller."
2024-03-02,msnita11,Beli utk anak.dia sgt gembira dpt beg yg cantik sangat.mmg recommended.TERBAIK
2023-11-30,t*****7,Sangat sangat berbaloi. Realllyyyy love it 😍😍 for sure akan repeat another kalerrr pulak. Material best!
2023-12-31,elvanyyy,"It’s so cute!! Totally worth it,good material and trendy 😍😍"
2024-02-23,nurulshafika931208,Sy chuby tp bg Sy beg ni comel sgt2 kalau Sy pakai... kecik...harap bag ni bertahan lama la..
2023-12-14,sadarrshop,"Kulit beg elok,zip smooth,warna nya cntik sangat,harga berbaloi"
2023-12-19,qieshaaaaa_,"Okay , semua cun nampak mcm beg mahal sangat 😜 lawa sangat sangat sangat sangat"
2023-11-07,reencloset,"Nice gilaa.... Korg patut beli taw! Recommended gila 😍 beli utk ank dara.. Tp rse nk repeat utk diri sndiri hahahah.. 

Everything okey! Delivery pun pantas ya rabb.. Seller pos hari yg sama.. Tq seller, gudjob! 🥰"
2024-03-06,k*****n,"serious cantik sangattt!! quality nice gila macam c&k. dia takde box or paper bag tapi letak dalam bag kain gitu still nampak exclusive. dah lama aim bag ni, tunggu sale dapat murah terus check out 😍"
2023-12-07,a*****n,"Durability:very good
Material:kulit

recommended !! will repeat another color. cantik sangat. and ringan. brand from indonesia."
2024-02-10,f*****a,itss good!!! i liker bcs its so simplee to usee very good!!!!
2024-02-27,c*****m,"Material:quality

Terbaik harga berpatutan wife suka Tq seller"
2024-02-17,fir_daus2008,"Durability:good
Material:good

CANTIK GILAA DAH LA DAPAT DISCOUNT AAAA"
2024-01-05,aishahhanan,"Material:Cantik
Durability:Cantik

Nampak ekslusif dn menawan"
2024-02-20,hanzhajis,"Material:ok
Durability:ok

Bag cantik,quality sesuai harga.. tiada sebarang kerosakan.."
2023-11-06,feliska.o,Material sgt2 Bagus.Beg pun sederhana besar.Sgt² suka beg Ni.
2024-03-19,n*****a,cantik sangat. dapat harga rm25 🥰😍😍 thankyouuu fast delivery 🫰🏻❤️❤️ boleh pakai raya memandangkan beg sedia ada dah rosak 😂
2023-11-27,a*****n,"Durability:nampak ok

Cantik gler.. warna nie pun lawa. X menyesal la beli"
2023-12-22,azhar9595,Material semua cun. Kemas. Wife suka. Thank you seller
2023-11-27,helmieyzaini,"Material:bagus
Durability:keras

Beg cantik and yg penting murah😆"
2023-11-14,i*****i,"beg cantik sangat, nampak macam mahal hihi. thank you seller for your service"
2023-11-27,sumandakj,I LOVE IT ! 😍 cuma beg ni sesuai utk yg tak bawa byk brg2 . Ngam2 utk wallet hp n bbrpa alat makeup
2023-12-15,jaelivehere,"The size are the one that I been looking for.
It's perfect enough but I disnt expect to be this wide.
Will find a way to style my outfit with this bag"
2023-11-08,syakrole98,Apa yg cantik sgt ni wehhhh tak rugi beli aaaa 😘😘😘  zip dia okay smooth je! 🙏🏼
2023-10-31,pesonaputri,"Durability:shoulder bag
Material:pu leather

Iawa ok la muat 2 fon ngan wallet"
2024-03-11,shinaina093,"Durability:ok
Material:idontknow

i recommend this….🫶🏻
looks expensive and elegent✨"
2024-02-08,sitikhadijah6300,"Durability:ok
Material:ok

This bag so cuteee, i love it."
2023-11-02,n*****n,"Brg ok terbaik puas hati beli,,tq seller.. Alhamdulillah Terbaikk"
2024-01-23,norhaslindahassanuddin,Durability:condition barang sangat berpuas hati ! takde cacat langsung 👍🏻
2024-02-20,r*****8,Barang sampai cantikk. nice nice nice 👌😍
2023-11-14,s*****n,"Durability:Quality is good, value for money"
2024-03-19,najiha744,"Material:good

Sngt cntkk tq yaa😘"
2023-11-04,hazlinlynn94,Beg cantik 😍😍 thank you seller
2023-12-20,0w2pggxnpe,Sampai dgn selamat dan cantik .puas hati
2024-03-13,a5yr4f,"Material:Good
Durability:Good

Adik saya sukaaa untuk birthday diaa. Vasss."
2023-11-29,itssakua22,This bag is so damn cuteee 😭🩷 looks expensive
2023-11-09,lienamanizzz88,"Material:good
Durability:real pict

Aq kena bayar 13 rm saje happy sangat....."
2024-02-17,aimimsrh01,"Cantik sangat cantik!!! My sister love it!! Quality pon best, pandai jaga confirm tahan lama 🫶🏻🫶🏻"
2024-01-16,j*****6,Just nice and fast delivery. Hopefully okayyy. Thank you seller
2023-12-31,i*****a,"Durability:quite cute and nice white
Material:steong

Sorry no pic as bought for gift someone else but its good"
2024-03-10,tulsi02,"Material:nice

Nice , beautiful 🤩"
2024-01-12,christinajohn92,"Material:Good
Durability:Good

Beautiful beg.. Fast shipping."
2024-03-20,mariamargareta131,"Cantik...
Tq sbb hantar barang sangt cepat"
2023-12-23,sandralynasaban,Barang sampai dgn selamat.. Beg cantik
2024-02-25,a*****s,Bag cantik 👍🏻 sampai dalam keadaan baik
2024-02-10,ellyshazulaika,bag cantikkk sangatttt👍🏻....kualiti dya pom bagus
2023-12-26,_*****n,really love the quality! ❤️
2023-11-29,arizabuhul,"Material:good
Durability:good

Lawa teruks😍 berbaloi sangat🤙🏾"
2023-12-03,zetyhafiza200484,"Material:kalis air

Beg cantikkk! I likeee❤️"
2024-02-09,i8_g59keaieva,"Durability:cantik
Material:good

Bag sangat cantik,,saya suka,,saya suka.."
2024-03-13,taeeyaa,produk bagus . sesuai seperti gambar
2024-01-02,g*****s,"Beli untuk hadiah bff..takde gambar takde video..tapi dia suka sangat, lawo dia kabo..beli masa offer dapat murah 🥰 thankyouu seller..nanti boleh repeat lag.. penghantaran laju mat"
2024-03-10,pendimur,"Lobe.. Lobe.. Lobe gitu
Barang sampai dengan selamat
Terima kseh saller
Terima kaseh akak kurir maaf dua kali dtg sya amik cod tp xde ditempat"
2024-03-07,hivellyhanif33,"Durability:aku masih belum bisa ngomong umur yang panjang
Material:Bagus sekali lagi semoga bermanfaat dan bisa juga sayang sama dia udah ngerti"
2023-11-04,y*****7,"satified with the quality. super in love😍 bought 2, both are to my standards. thank you seller😍😍"
2024-02-18,s*****_,"Material:leather i think

sesuai la dengan harga and dia macam off white"
2024-02-02,mardhiyahsaad21,"Durability:10/10
Material:9/10

warna cantik dan nampak classy ❤️"
2024-02-22,nursyuhaidakhairilhafiz,Cantik bersesuai dgn harga. Warna seperti yg dipilih.
2024-01-03,adamaidiladam,"Durability:Ok
Material:Terbaik tq seller n courier"
2024-03-10,p*****3,"Uools nak cari iron yang bagus tapi harganya berpatutan sis nak share iron paling best
Iron baru sis ni memang canggih tau. Stimnya kuat gila, boleh buang kedut tiga kali ganda lebih cepat dari yang biasa. dan 3 jenis steam mood iron tak perlu risau lagi pasal mengisi air berkali-kali sebab kapasitinya besar 2 liter. Dan yang paling best, ada sistem pembersihan dalaman automatik, jadi tak perlu risau tentang kuman atau karat. ni juga ada safety lock feature supaya iron tak mudah jatuh 
 Tambah pula, ada pilihan suhu untuk semua jenis kain, dari nilon sampai linen. yang best hanya dalam masa 60 saat dah panas. Tak perlu menunggu lama. Cepat tau jadi kita dapat  menggosok baju jadi lebih senangkan …

yang penting ada 1 tahun waranti.. kalau rosak dapat ganti baru Seriously, memang berbaloi beli steam iron Simplus ni tau…

Jom beli sekarang!!
Lazada: https://www.lazada.com.my/products/i3575415269.html?spm=a1zawi.24863640.table_online_product.13.447d4edfYKMiA1
Shopee: https://shopee.com.my/product/531049349/19378926429
Tiktok: https://shop.tiktok.com/view/product/1729610363239959273?region=MY&locale=en

Facebook: Simplus Malaysia
IG: @simplusappliance @simplus.my
Tiktok: @simplusappliance @simplus.my

#simplus #simplusmy #MCNWinbegin #appliances #1yearwarranty
#instagood #newitem #minimal  #musthave"
2024-02-03,n*****i,"Kat situ tulis putih, bukan putih pon. Hrmm ni color beige 😓 Menyesal beli. Tktaula seller tersalah color atau putih dia memang mcm ni"
2023-12-24,yusfafa,"Durability:👍
Material:👍

Cantik sngt² handbag ni,sbelum beli fikir dua 3 kali nk pilih warna ap,akhirnya pilih warna ni juga,memang tak mnyesal, cantik sngat²👍👍👍"
2024-03-04,n*****h,"terima kasih. barang dah lama sampai.
cantik beg. cuma ada kesan kotor sikit apa2 pun terbaik"
2023-11-17,liisaamiiraah,kat gamba macam besar tapi da sampai kecik pulak hm pape pun cantik je bag
2023-10-19,j*****n,"Durability:lawa....
Material:kulit cantik

ingt kan murah ni biasa je... xsangka lawa sgt2
...korang wajib beli...mmg berbaloi"
2024-03-05,nasuhamran,"ingatkn beg dia color putih terang tu , tapi mcm beige ii hurm"
2024-02-21,a*****k,sumpah cantik gila beg ni . memang nak repeat semua colour 😭❤️
2023-12-28,zai_kidshop,beg cantik..sesuai for those suka yg simple yet elegant..worth to buy
2024-01-05,a*****8,Barang dah sampai.. love sangat dgn barang ni.. thankyou seller ♥️♥️
2024-03-16,rynn_nial,"bag cantikkkk sangat. semalam order harini sampai, lajuuu 👍🏼👍🏼 recommended"
2023-12-15,dayangnh,Love the bag 🩷 might consider buying the other colours too
2024-02-03,margaret_99,Brg mmg terbaik .. cepat smpai lagi ... Terbaikkkkkk
2023-11-07,yukshopwithrose,"Love the bag, look classy & modest. Will repeat again"
2024-03-06,shamiratnay,"Material:ok
Durability:ok

Bukan pure white, more to cream."
2024-02-16,norahayumohdnor,"Material:ok
Durability:ok

sesuai utk anakdara dan remaja..tq seller"
2024-03-19,nur_hafifa,"Durability:beg cantik
Material:xtay material apa.

Comel molek ja"
2023-10-27,gb2cyapgc3whs_lo0k1oa5bw7xvf,Handbag cantik sgt.puas hati nk beli lg👍🏼👍🏼rekemen
2023-10-31,p*****a,"Material:idk
Durability:idk

i love it so much!!! sesuai utk most of my wardrobe."
2023-10-24,n*****4,Mak lurveeeee😍😍. Cantik gilerr💃🏿💃🏿. Nanti repeat kaler lain🤭🤭
2024-03-20,a*****n,Cantik nak mamposssss! Tak banyak sangat barang boleh letak tapi saya sukaa style begini. Comey dooh. Sangat recommended 👍🏼
2024-03-01,s*****n,comel! But the name should change to beige white as it name is white in the shopee.
2024-02-02,c*****2,"Durability:good
Material:good

在优惠的时候买的，20++就买到了，有薅到羊毛<3
挺赞的，奈斯，可以在优惠时买，比较便宜"
2024-03-10,zelajalani,"Terbaik.. sangat cantik.. 
Sangat comel.. boleh bawa p mna2.."
2024-02-16,s*****i,Nice. Cantik sangat. Beli untuk malam dinner company ehems
2024-01-19,a*****d,"Material:kulit

Thank you seller, tak besar n tak terlalu kecik just nice..boleh la nak bawa ootd..saya suka 👍🏻"
2024-01-30,a*****i,Cantikkkk!!! Nampakk mahal gitu. Comel pon comel. Terima kasihh seller 🌼🤍
2024-02-22,_*****h,Cantikkk sgt2 . Terima kasih sgt2 sbb sya mnta tlg pos ASAP. Seller tlg pos hri tu juga. Terima kasih sgt2. Smoga Allah murahkan rezeki selalu. Aamiinn
2023-11-06,puterisnow,"Material:soft leather

Beg cntik .."
2024-02-29,n*****h,Kualiti beg bagus dan berbaloi dgn harga.
2024-02-02,iemaroslan_,bag caantik delivery pon cpt..tq seller.
2024-02-03,nrul.suhadah,"Beg Comel dn cntik.. Fast delivery, tq seller🥰🥰"
2024-03-14,blqsk,Sumpah cantik kualiti tiptop tak nyesal beli
2023-12-09,s*****.,"Durability:okay
Material:nice

Cute love it 😊"
2024-01-01,qiweevictor30,Kualiti beg cantikkk lurvee sangatt! ❤️
2023-10-29,wiyahasni,The bag so pretty and fast delivery
2024-01-25,jannanaimahmad,"Material:kemas
Durability:pvc

Comel compact je"
2024-02-07,n*****h,FAST DEVELIVERY! THANK YOU SELLER
2024-02-29,faiz.amm,Lawa dan lajuu penghantaran .
2024-01-02,bungaaaaa_92,Good quality.look expensive & cute.
2024-02-25,sitifaridah070,"Material:Good

Lawa gila. Herlokkk.. ❤️‍🔥"
2023-11-29,meilintang,"Material:good material

Nice, like it."
2024-03-08,nurhanisahshamsi,Beg okay .. paper bag rosak.. 🥲 kemek.. better
2024-01-27,n*****r,Bag cantik berbaloi beli harga pon okay 👍🏼
2024-02-25,aisyahmusliadi,Sgt berpuas hati. Sya suka dgn bag ni
2024-03-18,nurfeziladuan,"Material:leather

Beg sgt cantik overall semua 👍"
2024-03-10,cixxammiy,beg cantikkk sgt !!! suke betull !!!
2023-11-19,rinarashid,"Material:ok

Comel je handbeg nie☺️i like😍"
2023-11-17,n*****n,Beg cantik & nampak mahal ❤️
2023-11-13,sylviaenchirong97,Brg smpai dgn selamat..cantik Dan comel.snagt..
2024-03-04,m*****7,Cantik.  Nampak beg mahal.  Thanks
2023-10-29,n.fatirh,Bag okay sngat cantikk mak luv
2024-03-18,sitiadilah361,beg cntik sngt ii 🥹🥹🥹
2024-03-07,sh_0193,cantik sgt mcm bag mahal
2024-01-05,n*****_,kualiti dia saing vincci je 🥺 lurve sangat comel je tpi bole letak banyak barang. nak buat daily bag takpayah beli charles n keith 🥵
2024-02-08,wawaaroslie,very very cantikkk!!!! 🥹🥰 thank you seller!
2024-02-28,elaine_chy,"Material:PVC

Good"
2023-12-04,,
2024-03-13,l_angsir,Seriussss lawoo wehh😭🫰🫰🫰
2023-11-06,diyanajwanabilanajiha,Material:Cantik tq
2024-03-05,carmenyong426,"Material:good
Durability:good"
2024-02-26,1*****h,"Material:nice

mntopp"
2023-12-09,vanessaavenni,good like it 🫰🏻
2024-03-07,a*****t,love it!!!!!! very spacious and sturdy!!!
2024-02-25,thyawulandari514,Dapat diskaun rm15 time live. Cantek
2024-02-19,m*****i,"Material:xtau PVC mgkin

Cute"
2024-03-10,shuyinng095,差不多我的手掌的宽度，挺好看的，RM30买的，总体这个价我不要求太多
2024-01-17,lyn_layyin,
2023-12-02,anisfatnin,
2024-02-11,a*****6,
2023-10-30,sugarglidder,Cantik & worth
2023-12-15,b7fmn06s_w,Cntik comel puas hti
2024-02-09,yayaizya,"Material:not good

👎🏻"
2023-11-04,a*****1,
2024-01-07,izzank26,RM0. Peribadikan Caller Ringtone anda dgn CRT Hit hanya pd RM1/CRT dan diperbaharui pd RM2/bulan setiap CRT. Aktifkan Cinta Hatiku (Wany Hasrita) dail *131*767198#. SUDAH (Ara Johari) dail *131*764553#.
2023-11-30,patmaimlanipatma,Material:sangt² bepuas hati 🥰
2024-01-25,yitianeng,"Durability:good

有点小瑕疵，不过还是能接受
外形也不错，颜色也很喜欢"
2024-02-22,m*****h,"Material:kemas, cantik

beg cantik😍"
2024-01-16,feifeilim,昨天order 今天到货 品质OK👍🏻👍🏻👍🏻
2024-03-07,n*****_,Beg cantikkk..berbaloiii saya sukaaaaaaa
2024-02-16,s*****e,Manteps! Beli laa kamoo kalau minat beg kicik2
2023-12-09,nurulamirah553,Nice bag nih luv😍
2024-03-08,ayuzieabdullah95,Cantikk
2023-12-11,deiana_rayalli93,
2024-03-13,alyusrilaila,
2023-11-08,sintivia,
2024-01-16,anisarizkiutami868,"Durability:cepat
Material:oke"
2023-11-19,masyitanaser,fuhh heloknyaaa
2024-02-11,latiflangs,"Material:ok
Durability:ok

Terbaiekk...boss"
2023-11-01,nurqasehaida,Material:beg cantik
2023-11-26,w*****n,nice
2023-11-15,nurqisya223,Cute..
2024-01-15,farahuncu,
2023-11-12,eiyka.z,
2023-11-21,bevellahua,
2024-03-03,fatimahazzahrah684,
2024-02-09,zulfadhlie_97,
2024-03-19,iskandarpijoy,"Barang dah sampai, cantik sangat.."
2024-02-15,qasehiftitah,
2024-02-20,i*****a,"Hello seller, I have received my order just now. thank you for your service! I will repeat ordered again in the future."
2024-02-16,nydaniadina,"Buy it for my daughter & she like it very much. Tq seller

Sorry gambar & video tak ada kaitan. Anak dah simpan beg dlm bilik 🤣"
2023-12-02,e*****a,RM0 TNG eWallet: PERINGATAN nikmati kredit percuma bernilai sehingga RM9 di dalam 'GOrewards > Collections' anda. Tebus sebelum pukul 10 malam hari ini.
2024-03-13,w*****j,"Durability:9/10
Material:9/10

my firstime buying a mossdom bag and it’s worth it! might repeat again and thankyouu"
2023-12-30,nadiahmohdnoh,Beli sebab bagi hadiah kat kawan cantik gilooo tak menyesal beli 🥰
2024-02-13,y*****5,"good, style and looks high grade, will support again"
2024-02-29,a*****4,"tali bag (tanpa butangkan kat paku dia)= 50.5cm

paling panjang tali bag lepas butangkan dia= 41.5cm

lebar tali bag = 1.5cm

lebar bag = 6.5cm

panjang bag = 23cm

overall colour ni mmg cantik, warna cream, material bukan leather, so tak yah takut terkopek je apa, if kena air, okay je rasanya. warna gold bag pjn tak nampak murah. bag ni nampak classy tak nampak murah. thats the good things. delivery pon cepat gila, dapat card return if nak return. mmg cantik bag ni, just kalau besar sikit, mmg berbaloi. for me bag okay, but agak kecik, muat 3 barang besar, saya letak iphone 13, hand fan jisulife dgn seaglora purse je. lepas letak 3 barang ni, tak lepas nak letak any small items macam lipstick ke mascara ke. zip pon masa bukak , smooth je, but bila nak zip tutup, sangkut2. sesuai untuk raya or occasion yang guna that particular day je, tak sesuai untuk daily ataupun nak gi tempat yg kena bawak banyak barang. sesuai for ootd"
2024-03-06,a*****a,"Material:pvc I guess , good la for the price
Durability:good sturdy got shape not flabby

Been using it for quite some time. Can match into any outfit. Almost the same size as my samsung tablet but the tablet cannot fit laa. Just fit a phone small wallet and some small stuff. Just the right size"
2024-03-06,s*****a,"Durability:haven’t tried yet
Material:very good

The bag is really nice and pretty. Despite the cheap price the quality is really good and have quite a big space. Will repeat another handbag from this shop"
2024-03-05,muhyiddinzaqi,"Durability:cantik
Material:oke

Barang sampai dengan selamat, material oke padan dengan harga nya, beli untuk istri biar ada senyum sikit.
Thank you seller dan abang shopee."
2024-01-30,irfndrwsy,"Di zaman sekarang, trend ‘online shopping’ semakin mendapat tempat dan menjadi pilihan popular terutama buat generasi muda. Memang mudah sebab anda hanya perlu ‘browse’ website dan setelkan bayaran hanya di hujung jari sambil bersantai di rumah."
2024-03-24,f*****f,"Durability:not sure
Material:rubber

Super fast delivery. 
Warna cantik
Kecik molek 
Quality sesuai dengan harga
Dapat dengan harga RM 25 not including postage."
2024-03-06,jiya82,"Durability:ok
Material:ok

Beli tuk anak.. harap anak suka... walau lambat sampai p xpa nak pakai raya nanti...akan order g..tq"
2024-03-19,acylsyaq,"Material:like expensive material
Durability:good

Bought this during live for cheaper price.  Can fit 8 inch phone, long purse, lipstick, cushion foundation, car keys. Basically everything 😌 😌"
2024-02-28,a*****f,"Durability:good
Material:good

Team, important reminder on forklift. Do not exchange forklift ownership with other driver unless with management approval. Do not allow others to drive your forklift especially member without license. Failure to follow will result in disciplinary action."
2024-03-11,i*****a,"Durability:harap bertahan
Material:leather

Alhamdulillah selamat sampai ke Sabah. Bag sangat cantik. Kali kedua pembelian dengan seller ni. Semua dalam keadaan yang baik dan tiada sebarang kerosakan. Bolehlah bergaya di hari raya nanti. Terima kasih seller."
2024-03-16,n*****a,"Real life warna lagi pekat. Mcm kelabu koko mcm tu. Warna beige ke ape. Khaki mcm kuning2 kan. Haa ni mcm beige yg ke kelabu koko tu.. 

Even salah select, patutnye putih. Tapi puas hati sbb mmg aim yg ni jugak. Lawa lagi dari putih. Putih beg awam sbb ramai pakai."
2024-02-23,s*****n,"Material:pu leather
Durability:durable

Lawa. Rasa berbunga bunga hati dapat parcel. Lama dah tengok2 akhirnya beli jugak. Sangat lawaa. Maybe akan beli warna lain lagii"
2024-02-15,f*****i,Bag cantik sangat . Penghantaran pun pantas . Bag pun keras tak lembik . Sama seperti dalam gambar 💕💕
2024-02-10,a*****a,kainnya tebal. memang nampak berkualiti. beli time live dapat murah banyak heheh
2024-03-06,nurmasayu96,"Durability:Looks and feels sturdy and excellent material
Material:Nampak exclusive

Bought during Live for only RM 29.19 !!!  Totally worth it !! Cantik gilaa tak sabar nak pakai ❤️"
2024-03-06,mkskinbeauty,Beg cantik comel.. material tak lembik.. sesuai untuk anak dara remaja..
2024-03-10,nrfaizahmajideiza,"Durability:baikkk
Material:sangat baikkk

beggg cntikkk sngtt2. .puas hatii belii. .nnti nk repeat lgii. .pnghntran pon lajuu. .👍🏻👍🏻"
2024-03-22,assyiqin,Finallyyyyy dah smpaiii beg rayaaa!!! cepat gilaa smpaiiii pantassss terpaduuu❤️❤️Mantekkkkkk!!!! mmgggg Cantikkkk gilerrrrrrssss!!!! 😍😍😍 Beli masa live ya Allah host pun baik sgt2 layan je karenah customer. dah teracunn dgn host grab beg nii hehehe im lurveeee🫶🏼🫶🏼🫶🏼 mmg tak menyesal lah belii kualiti punn cantikkk paduu terokkkzzz!!! 🥰🥰
2024-03-04,b*****c,Ingatkan ruang dalam bag besar . Dah try letak wallet dan hp hampir penuh sikit ruang
2024-03-05,syazwanisafian1996,"Material:good material
Durability:durable

Simple design with simple style. 👍 Item arrived in good condition and quality. 👍"
2024-03-19,s*****a,"Durability:ok
Material:ok

Beg sampai dengan baik.. cantik sangat tak rugi beli walaupon harga murah tapi cantik.. terima kasih."
2024-03-05,sopianmt,Terbaik seller ni. Penghantaran yang cepat dan kemas. Patutlah ramai orang yang beli dengan dia. Mantap
2024-03-07,chiyenkhor,"Order placed : 5Mar @ 9:30pm
Item Received : 7Mar @ 4pm

Purchased during sale for RM30 (including delivery). 

The best way to describe the quality - it is something of similar to Vincci. It does not feel like those cheap bags & the material used feels good, not thin & honestly looks really good. 

Highly recommend to purchase the price is such a steal for such quality."
2024-02-09,bellalunaluncas94,Tak besar sangat tak kecik sgt. Warna hitam mmg ngam dgn semua
2024-02-03,n*****l,Cantikk sangat. Beli untuk kawan sebab kita sula beg tu. turns out kawan saya suka sangat sangattt. Korang kena beli!! 😍😍
2024-03-15,l*****e,"Material:leather
Durability:great

So worth it. got this at Rm 33. pretty nice. very high quality for a bag under 50 ringgit."
2024-03-19,faizalbarca,"Material:good
Durability:ok

Fast delivery good quality terbaik shipping laju 👍 👍"
2024-03-23,fathinharyanni,"for the price, sangat affordable ya with the quality. tak nmpak murah langsung."
2024-03-05,n*****i,Beg cantik .. harga yang murah n berkualiti .. penghantaran yang cepat.
2024-03-07,w*****a,"Material:leather

lawa gilaaaaa 😭❤️ suka sangattt , packaging dia pun lawa tau . beg pun tak besar sangat tak kecik sangat , muat la nak letak purse phone barang makeup sikit semua tu kan . overall memang puas hati gila kita tak menyesal grab warna hijau 🥳 fast delivery ! sangattt recommended !! thankyou seller 🥰"
2024-03-13,syakinashahira,"My bag already arrived. Cantik and kualiti pun not bad. Semoga boleh tahan dgn lama beg ni  hehehe 😁 Tq seller, pos barang pun cepat. 11hb order, 13hb dah sampai. Thank you again ❤️❤️"
2024-03-23,shooniesha,Cantikk putihh. Saya sukaa. Buat rayaa. Thank youu so muchh
2024-03-25,nuraidara,"Material:so good
Durability:ok okla

Smpai dgn cepat tpiiiii kecik plk hmmm diluar jangkaan plk ingt besar sikit 🥲"
2024-03-17,j*****h,"CANTIKK GILORSSS GUYSSS KORANGG WAJIB BELIII. PAPE PUN LOVEE .
MATERIAL PUNN OKAYY. DIA JENIS YG KERAS KERAS TUU ."
2024-03-23,n*****h,"Durability:ok
Material:nice

Barang dah sampai , semua cukup , saya beli ,  terima kasih 👍"
